GeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
LRRC56,92.62051779691133,-0.03974791663569611,0.1334684776841075,0.6697860346157631,0.8275737607877363
LRRC57,925.2466335239773,0.033955496355945525,0.09836587541109831,0.6825800061709473,0.836116924627878
LRRC58,3862.36163790861,-0.112917919399405,0.07576168118403624,0.09952623974182688,0.25597781492400856
LRRC59,7015.953635686821,-0.3140200897801065,0.05001093171560342,9.340559118396278e-11,3.787172151640673e-9
LRRC6,68.37669769771786,-0.10499441305336042,0.18450199365969924,0.24913057132627026,0.4684750150161818
LRRC61,193.5198419079828,0.08295351381285518,0.11372225021555182,0.3583930915442081,0.5863155137257006
LRRC69,76.68052790981487,-0.0020246905536546633,0.1526449652009499,0.978391884555611,0.9899657960079785
LRRC74B,6.167618552494372,0.013084853143701641,0.18126981744929757,0.6830726107106376,NA
LRRC75A,16.057886502064846,0.008011003787131177,0.17245479724811053,0.8930728173146693,NA
LRRC75B,62.08748873814381,-0.11142599776733635,0.20187877196848225,0.17919343774186838,0.37915412580827723
LRRC8A,722.9344834936516,2.137787220242704e-4,0.06959735673274836,0.9963583343856586,0.9981967813724912
LRRC8B,814.7390516368737,-0.09943572137343418,0.11667345520447975,0.2797972207489637,0.5046994564655508
LRRC8C,7961.066388865779,0.11349444702014842,0.04669147249522446,0.011968639472092004,0.05319016716280603
LRRC8D,4008.933805964496,0.07796849205638721,0.05028782709595157,0.10535367146450568,0.26611178180597633
LRRC8E,11.383380259253705,0.017856200951304288,0.1751509835193554,0.74917414111765,NA
LRRC9,12.471072411254546,-0.014208560385228946,0.17433792846489365,0.8025680546254742,NA
LRRCC1,1310.3787537060525,-0.07956397525336467,0.0651602975954528,0.18438015864168325,0.38579736887435107
LRRD1,7.784303459386189,0.04434492582066991,0.1879530117758793,0.2046660878305193,NA
LRRFIP1,5763.620307487344,0.058515081714282595,0.05356379323509131,0.24995776101850825,0.4695065114067424
LRRFIP1P1,58.58771359082614,0.02501171452656344,0.15245376643450326,0.7732832805187373,0.8895542435207612
LRRFIP2,1307.847692274885,-0.024846303462791697,0.08067475040615822,0.7326931977373077,0.8653370668295732
LRRIQ3,44.26220558937917,-0.01317965675199284,0.16512076190331315,0.8553636074808466,0.9316860645635248
LRRK1,1596.221743500387,-0.18260407163227674,0.10798675894512776,0.042059786890333475,0.13800384095808838
LRRN4CL,16.474699920049297,0.057963608399622016,0.17984225783825797,0.40019810947668905,NA
LRRTM4,15.361715311389267,0.01933728414767924,0.17352350378727646,0.7446582933413167,NA
LRSAM1,107.8345799191368,0.041328537827108394,0.18286255532509188,0.406792749899331,0.6311377637896441
LRTOMT,71.06106483349464,-0.05792819778655178,0.19662047756124054,0.006149444979596961,0.03177255643574963
LRWD1,930.7506285586452,-0.37280331059810745,0.16625104176659797,0.003478230958162996,0.020373427863761492
LSG1,2369.5055223780864,-0.06675414292976059,0.08200422705232982,0.3678219792537791,0.596230643421754
LSM1,2011.3830426387944,0.025839710221560577,0.0728967013428562,0.7022192889897989,0.8479430519708434
LSM10,793.6638666418843,-0.09524745498489512,0.10703175085022286,0.2770848557268639,0.5022112740663391
LSM11,574.1846010279143,-0.26187389309617143,0.08911274940568518,0.001023318075866775,0.0074681045413810074
LSM12,2714.6594806569997,-0.17448307133326768,0.08140443409366938,0.01677939977227775,0.06924690824725861
LSM12P1,204.25789441670534,-0.020616454836064568,0.1425507362250175,0.8179601431854572,0.9116999525258827
LSM14A,7838.03149414222,-0.08383991244286755,0.03613158737950674,0.01898912355044327,0.07598083143157179
LSM14B,748.2474296109391,-0.17538303670441527,0.06685950992307885,0.004758828099883225,0.02623763589904711
LSM2,1404.3582474998339,-0.05623961805555202,0.06900841795146392,0.37426318670112874,0.6019058178394971
LSM3,2029.362911072227,0.04268050327779109,0.08398521391680694,0.5739661191794101,0.7655333649805055
LSM4,4558.6123899549775,-0.02623247964695073,0.06662667734978693,0.6982156494135878,0.8455900271501107
LSM5,2117.1751650416923,-0.022112165526419335,0.07854312914372114,0.7557574344944408,0.8795704516440763
LSM6,506.17734823602694,-0.0065933176661451326,0.11304512070616386,0.9394375538763282,0.9721400741000793
LSM7,2617.335258088847,-0.1566278823806631,0.07183393169244835,0.019430235232567192,0.07709089163729364
LSM8,3166.6578189835814,-0.07488612599172392,0.08455257709173457,0.3180865017665688,0.5451165409717182
LSMEM1,8.39432390143986,0.03921179529536142,0.1856059359593307,0.296383856550318,NA
LSS,2379.5476214815585,0.037354640994158354,0.13314189676141389,0.6940783895625982,0.8431567051418021
LST1,3843.7896019615805,-0.056750846810268964,0.10215037598979748,0.49731505190418196,0.7079879580687898
LTA4H,218.98000028615695,0.17743375658042754,0.10528726180401425,0.04508250840936522,0.14459847377549515
LTB,56.127848610514654,-0.026595488560075098,0.1498699177215188,0.7649563624642934,0.8848439287193495
LTBP3,427.1036300550439,-0.08258771318903835,0.14035502266554356,0.38752003840367333,0.6141307410640955
LTBP4,1118.837369525753,0.18714707470278488,0.12454407949220893,0.05621967458738633,0.17034782280318858
LTBR,2254.189039485946,-0.13761690926049733,0.0653353799772099,0.02365998752393917,0.08994396474853952
LTK,302.4658432956464,-0.037774239224163376,0.10415890587294759,0.6664496689078503,0.8260131120976408
LTV1,2625.379049217458,-0.16148220255815102,0.06483657728493268,0.00790572294249575,0.038504940758926263
LUC7L,1689.9301080653267,0.15887886133914983,0.07594498761166465,0.021871320322517273,0.08471744670831131
LUC7L2,4506.301689873762,-0.03416608377500599,0.067557012823615,0.6250431582046381,0.7995058309731659
LUC7L3,7204.068443334705,0.14545557773485032,0.054068895354809333,0.004655794056658865,0.02587537213453612
LUZP1,1343.9655568939047,-0.021417269072561182,0.1255138413887749,0.8198195857307045,0.9125507609060555
LXN,372.1876886179926,0.06035722213180811,0.10645414743663964,0.48933501287592773,0.7011836650366707
LY6E,2485.4270531401858,-0.08885806158334779,0.07538486242766264,0.19490989235711714,0.40059821194135603
LY6G5B,596.8253837760003,0.07903455562958653,0.111341482092821,0.3767108340423173,0.6041305888686861
LY6G5C,78.74914927564849,0.06414586631135183,0.17485778369882282,0.41414844410281326,0.6374186040567295
LY75,3348.98715685457,0.226819104317814,0.06051772010608187,8.417661865392787e-5,9.015416927532172e-4
LY75-CD302,486.14836980658515,0.003990434910075738,0.16897762547684214,0.9521439886739134,0.9780369180336005
LY86,579.6289210948966,0.6224202311534401,0.14033920393839655,7.811254456253999e-7,1.45592456193582e-5
LY9,200.67936258090458,0.8548923156963091,0.20754667782665046,2.2299977926235076e-6,3.768364334814934e-5
LY96,52.667524559374826,0.8683670861924718,0.2931390782320589,1.5984025646519556e-4,0.0015643300334932304
LYAR,1412.2925849650867,-0.3901960596637489,0.0952074410022946,6.9536090925153655e-6,1.0144470834968678e-4
LYG1,37.56727143896779,0.03489476248862744,0.1592952726182909,0.6766513462788144,0.8312042113249887
LYL1,1225.0340541475175,-0.15316119366379186,0.07329785449815976,0.022413295097295855,0.08622835156347217
LYN,4692.132171692642,0.3808234965810663,0.05826700414608417,1.579147108334869e-11,7.385913516436646e-10
LYNX1,135.15924956407852,0.10589025116311432,0.20291128556241328,0.17628798575584056,0.3753591858675388
LYPD3,7.581210893503334,-0.06346536944921805,0.19199762856265934,0.2031144812605753,NA
LYPD5,14.077682519377248,0.054639332228553064,0.17955259604819435,0.41606275891450023,NA
LYPLA1,8050.995977785289,-0.14557864045826566,0.15122331881372467,0.15738810695444053,0.3487955065922011
LYPLA2,1315.7040835624161,-0.06397934149728562,0.08629943480225678,0.3891513189926158,0.6152679175410686
LYPLAL1,506.9483327217177,0.3782521141103515,0.13547472893936602,7.803472483983386e-4,0.0059675299681558195
LYRM1,850.6695392893216,0.08354966332511433,0.08706974951547096,0.27854832867358525,0.5035639064193603
LYRM2,1674.4670165487348,-0.030170234027161572,0.06074729350435856,0.6012834529963628,0.784730522578928
LYRM4,887.6915207841774,-0.11599748313237111,0.06916590347048747,0.06863614981411535,0.19627392692435827
LYRM5,662.7791184046787,0.017949708146540653,0.10789247354601492,0.8402236185451475,0.922918694937541
LYRM7,2282.241981487387,-0.22639912092806916,0.08811577704876032,0.0038354399978956268,0.021997455554799785
LYRM9,58.61419770597469,0.8035341671323892,0.43142000234931877,0.002312299832835384,0.014551548637340603
LYSMD1,12.080148853358324,-0.00759184002828427,0.17225283531882876,0.8983646477186338,NA
LYSMD2,454.61091722849136,-0.05749806980630159,0.09119293489513726,0.47027626198715516,0.6845400176110915
LYSMD3,924.0523783379565,-0.0013534855666413703,0.09357981204497258,0.986919180337523,0.9941636463704919
LYSMD4,197.7431068369704,-0.013901034920480958,0.14927145088732882,0.8715117971229698,0.9396856607210885
LYST,9907.616232602368,-0.1489814576538966,0.11571565694909025,0.10570640211031164,0.2664099999099035
LYZ,7749.272875364903,1.1460879421472165,0.0598903797256468,7.821546015557298e-83,1.085282962691995e-79
LZIC,1909.8344919566512,-0.1561729456867579,0.07709214904194228,0.025624396897958344,0.09526569468940274
LZTFL1,290.53816922465217,-0.016878324543980913,0.11971215609163116,0.8515000359289926,0.9299110143140586
LZTR1,440.6673329589894,-0.3051022206009436,0.13122927143112637,0.00425180802792188,0.02386363085514087
LZTS1,580.3486186994631,-0.19708303183735762,0.08851016736663062,0.011799318064198597,0.05258739614051109
LZTS2,1698.5152870353713,-0.10444163838585081,0.08472845793436257,0.16541718930977045,0.3604484139068947
LZTS3,39.62546574952535,-0.011393445287729852,0.15514821346284846,0.8897602281822755,0.9460473162656667
